Nc,dim_adj,factor,mp_me_pred,mp_me_exp,deviation_ppm
2,3,0.577350269,1836.174560,1836.152673,11.92
3,8,0.353553391,1836.152678,1836.152673,0.003
4,15,0.258198890,1836.143354,1836.152673,-5.08
5,24,0.204124145,1836.138067,1836.152673,-7.95
